pixel_num_ratio: 3.502500   ;   ouput_choice_idx: 1
pixel_num_ratio: 2.610000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.432000   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.642000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.500600   ;   ouput_choice_idx: 1
pixel_num_ratio: 7.220000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.090000   ;   ouput_choice_idx: 1
pixel_num_ratio: 4.982000   ;   ouput_choice_idx: 2
pixel_num_ratio: 3.555000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.289200   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.585333   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.655167   ;   ouput_choice_idx: 2
pixel_num_ratio: 5.040000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.161000   ;   ouput_choice_idx: 2
pixel_num_ratio: 6.643500   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.107500   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.546000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.673200   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.638000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.652000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.203000   ;   ouput_choice_idx: 2
pixel_num_ratio: 2.582000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.887333   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.465857   ;   ouput_choice_idx: 1
pixel_num_ratio: 5.688000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.482000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.307000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.629333   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.527286   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.959750   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.850000   ;   ouput_choice_idx: 1
pixel_num_ratio: 12.322000   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.780500   ;   ouput_choice_idx: 0
pixel_num_ratio: 5.229000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.000000   ;   ouput_choice_idx: 1
pixel_num_ratio: 12.192000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.099000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.700000   ;   ouput_choice_idx: 2
pixel_num_ratio: 9.078000   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.748000   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.234000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.945000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.266273   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.069500   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.389333   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.800667   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.529250   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.999000   ;   ouput_choice_idx: 1
pixel_num_ratio: 1.447333   ;   ouput_choice_idx: 0
pixel_num_ratio: 6.555000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.242000   ;   ouput_choice_idx: 2
pixel_num_ratio: 10.706000   ;   ouput_choice_idx: 1
pixel_num_ratio: 5.208000   ;   ouput_choice_idx: 1
pixel_num_ratio: 7.288333   ;   ouput_choice_idx: 0
pixel_num_ratio: 0.529333   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.817000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.060000   ;   ouput_choice_idx: 0
pixel_num_ratio: 1.409400   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.119000   ;   ouput_choice_idx: 2
pixel_num_ratio: 0.075000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.526000   ;   ouput_choice_idx: 2
pixel_num_ratio: 1.197000   ;   ouput_choice_idx: 1
pixel_num_ratio: 0.768600   ;   ouput_choice_idx: 2
pixel_num_ratio: 4.227667   ;   ouput_choice_idx: 1
pixel_num_ratio: 3.634000   ;   ouput_choice_idx: 0
pixel_num_ratio: 2.233000   ;   ouput_choice_idx: 0
pixel_num_ratio: 4.312000   ;   ouput_choice_idx: 0
pixel_num_ratio: 3.607000   ;   ouput_choice_idx: 2
